county,date,average temperature
Broward,1/3/2020,65.5
Broward,2/3/2020,73.0
Broward,3/3/2020,76.0
Broward,4/3/2020,78.0
Broward,5/3/2020,83.0
Broward,6/3/2020,76.5
Broward,7/3/2020,68.0
Broward,8/3/2020,71.0
Broward,9/3/2020,74.5
Broward,10/3/2020,76.0
Broward,11/3/2020,75.0
Broward,12/3/2020,75.5
Broward,13/3/2020,75.5
Broward,14/3/2020,78.5
Broward,15/3/2020,78.5
Broward,16/3/2020,76.5
Broward,17/3/2020,78.0
Broward,18/3/2020,77.5
Broward,19/3/2020,80.0
Broward,20/3/2020,79.5
Broward,21/3/2020,79.5
Broward,22/3/2020,76.5
Broward,23/3/2020,78.0
Broward,24/3/2020,79.5
Broward,25/3/2020,80.5
Broward,26/3/2020,80.5
Broward,27/3/2020,80.0
Broward,28/3/2020,77.5
Broward,29/3/2020,80.0
Broward,30/3/2020,81.5
Broward,31/3/2020,83.0
Broward,1/4/2020,80.0
Broward,2/4/2020,74.0
Broward,3/4/2020,77.0
Broward,4/4/2020,78.5
Broward,5/4/2020,78.0
Broward,6/4/2020,80.5
Broward,7/4/2020,81.5
Broward,8/4/2020,83.5
Broward,9/4/2020,84.0
Broward,10/4/2020,85.0
Broward,11/4/2020,79.5
Broward,12/4/2020,83.0
Broward,13/4/2020,84.5
Broward,14/4/2020,85.0
Broward,15/4/2020,86.5
Broward,16/4/2020,84.0
Broward,17/4/2020,83.0
Broward,18/4/2020,84.5
Broward,19/4/2020,83.0
Broward,20/4/2020,88.5
Broward,21/4/2020,84.5
Broward,22/4/2020,80.0
Broward,23/4/2020,83.5
Broward,24/4/2020,87.0
Broward,25/4/2020,84.5
Broward,26/4/2020,77.5
Broward,27/4/2020,79.0
Broward,28/4/2020,76.5
Broward,29/4/2020,80.5
Broward,30/4/2020,79.5
Broward,1/5/2020,74.5
Broward,2/5/2020,76.5
Broward,3/5/2020,76.5
Broward,4/5/2020,78.5
Broward,5/5/2020,80.5
Broward,6/5/2020,83.0
Broward,7/5/2020,79.0
Broward,8/5/2020,74.5
Broward,9/5/2020,79.0
Broward,10/5/2020,75.5
Broward,11/5/2020,78.5
Broward,12/5/2020,79.0
Broward,13/5/2020,79.5
Broward,14/5/2020,77.0
Broward,15/5/2020,76.5
Broward,16/5/2020,80.0
Broward,17/5/2020,81.0
Broward,18/5/2020,78.0
Broward,19/5/2020,80.5
Broward,20/5/2020,84.5
Broward,21/5/2020,84.0
Broward,22/5/2020,80.5
Broward,23/5/2020,81.0
Broward,24/5/2020,76.0
Broward,25/5/2020,75.5
Broward,26/5/2020,78.5
Broward,27/5/2020,79.5
Broward,28/5/2020,83.0
Broward,29/5/2020,83.5
Broward,30/5/2020,84.0
