county,date,average temperature
Hillsborough,1/3/2020,61.5
Hillsborough,2/3/2020,68.0
Hillsborough,3/3/2020,72.0
Hillsborough,4/3/2020,75.5
Hillsborough,5/3/2020,78.5
Hillsborough,6/3/2020,69.5
Hillsborough,7/3/2020,63.5
Hillsborough,8/3/2020,64.0
Hillsborough,9/3/2020,70.0
Hillsborough,10/3/2020,73.0
Hillsborough,11/3/2020,73.5
Hillsborough,12/3/2020,75.0
Hillsborough,13/3/2020,76.0
Hillsborough,14/3/2020,77.0
Hillsborough,15/3/2020,77.5
Hillsborough,16/3/2020,77.5
Hillsborough,17/3/2020,77.0
Hillsborough,18/3/2020,78.0
Hillsborough,19/3/2020,78.0
Hillsborough,20/3/2020,78.5
Hillsborough,21/3/2020,77.5
Hillsborough,22/3/2020,78.0
Hillsborough,23/3/2020,77.5
Hillsborough,24/3/2020,79.5
Hillsborough,25/3/2020,77.0
Hillsborough,26/3/2020,82.0
Hillsborough,27/3/2020,81.0
Hillsborough,28/3/2020,80.0
Hillsborough,29/3/2020,79.0
Hillsborough,30/3/2020,80.5
Hillsborough,31/3/2020,81.0
Hillsborough,1/4/2020,73.0
Hillsborough,2/4/2020,71.5
Hillsborough,3/4/2020,74.0
Hillsborough,4/4/2020,76.5
Hillsborough,5/4/2020,75.5
Hillsborough,6/4/2020,77.5
Hillsborough,7/4/2020,80.0
Hillsborough,8/4/2020,80.0
Hillsborough,9/4/2020,82.5
Hillsborough,10/4/2020,83.0
Hillsborough,11/4/2020,79.0
Hillsborough,12/4/2020,84.5
Hillsborough,13/4/2020,83.5
Hillsborough,14/4/2020,85.0
Hillsborough,15/4/2020,83.5
Hillsborough,16/4/2020,78.0
Hillsborough,17/4/2020,79.5
Hillsborough,18/4/2020,81.0
Hillsborough,19/4/2020,81.5
Hillsborough,20/4/2020,83.5
Hillsborough,21/4/2020,81.0
Hillsborough,22/4/2020,79.5
Hillsborough,23/4/2020,81.5
Hillsborough,24/4/2020,80.5
Hillsborough,25/4/2020,80.0
Hillsborough,26/4/2020,76.5
Hillsborough,27/4/2020,76.0
Hillsborough,28/4/2020,74.5
Hillsborough,29/4/2020,77.5
Hillsborough,30/4/2020,75.0
Hillsborough,1/5/2020,74.0
Hillsborough,2/5/2020,75.5
Hillsborough,3/5/2020,78.5
Hillsborough,4/5/2020,79.5
Hillsborough,5/5/2020,80.0
Hillsborough,6/5/2020,79.5
Hillsborough,7/5/2020,75.5
Hillsborough,8/5/2020,74.0
Hillsborough,9/5/2020,80.0
Hillsborough,10/5/2020,76.5
Hillsborough,11/5/2020,79.0
Hillsborough,12/5/2020,78.0
Hillsborough,13/5/2020,77.5
Hillsborough,14/5/2020,79.0
Hillsborough,15/5/2020,77.0
Hillsborough,16/5/2020,79.5
Hillsborough,17/5/2020,80.0
Hillsborough,18/5/2020,77.0
Hillsborough,19/5/2020,79.5
Hillsborough,20/5/2020,80.5
Hillsborough,21/5/2020,82.0
Hillsborough,22/5/2020,82.5
Hillsborough,23/5/2020,82.0
Hillsborough,24/5/2020,74.5
Hillsborough,25/5/2020,78.5
Hillsborough,26/5/2020,81.0
Hillsborough,27/5/2020,82.5
Hillsborough,28/5/2020,81.5
Hillsborough,29/5/2020,82.0
Hillsborough,30/5/2020,82.5
