county,date,average temperature
Monroe,1/3/2020,65.5
Monroe,2/3/2020,73.0
Monroe,3/3/2020,76.0
Monroe,4/3/2020,78.0
Monroe,5/3/2020,83.0
Monroe,6/3/2020,76.5
Monroe,7/3/2020,68.0
Monroe,8/3/2020,71.0
Monroe,9/3/2020,74.5
Monroe,10/3/2020,76.0
Monroe,11/3/2020,75.0
Monroe,12/3/2020,75.5
Monroe,13/3/2020,75.5
Monroe,14/3/2020,78.5
Monroe,15/3/2020,78.5
Monroe,16/3/2020,76.5
Monroe,17/3/2020,78.0
Monroe,18/3/2020,77.5
Monroe,19/3/2020,80.0
Monroe,20/3/2020,79.5
Monroe,21/3/2020,79.5
Monroe,22/3/2020,76.5
Monroe,23/3/2020,78.0
Monroe,24/3/2020,79.5
Monroe,25/3/2020,80.5
Monroe,26/3/2020,80.5
Monroe,27/3/2020,80.0
Monroe,28/3/2020,77.5
Monroe,29/3/2020,80.0
Monroe,30/3/2020,81.5
Monroe,31/3/2020,83.0
Monroe,1/4/2020,80.0
Monroe,2/4/2020,74.0
Monroe,3/4/2020,77.0
Monroe,4/4/2020,78.5
Monroe,5/4/2020,78.0
Monroe,6/4/2020,80.5
Monroe,7/4/2020,81.5
Monroe,8/4/2020,83.5
Monroe,9/4/2020,84.0
Monroe,10/4/2020,85.0
Monroe,11/4/2020,79.5
Monroe,12/4/2020,83.0
Monroe,13/4/2020,84.5
Monroe,14/4/2020,85.0
Monroe,15/4/2020,86.5
Monroe,16/4/2020,84.0
Monroe,17/4/2020,83.0
Monroe,18/4/2020,84.5
Monroe,19/4/2020,83.0
Monroe,20/4/2020,88.5
Monroe,21/4/2020,84.5
Monroe,22/4/2020,80.0
Monroe,23/4/2020,83.5
Monroe,24/4/2020,87.0
Monroe,25/4/2020,84.5
Monroe,26/4/2020,77.5
Monroe,27/4/2020,79.0
Monroe,28/4/2020,76.5
Monroe,29/4/2020,80.5
Monroe,30/4/2020,79.5
Monroe,1/5/2020,74.5
Monroe,2/5/2020,76.5
Monroe,3/5/2020,76.5
Monroe,4/5/2020,78.5
Monroe,5/5/2020,80.5
Monroe,6/5/2020,83.0
Monroe,7/5/2020,79.0
Monroe,8/5/2020,74.5
Monroe,9/5/2020,79.0
Monroe,10/5/2020,75.5
Monroe,11/5/2020,78.5
Monroe,12/5/2020,79.0
Monroe,13/5/2020,79.5
Monroe,14/5/2020,77.0
Monroe,15/5/2020,76.5
Monroe,16/5/2020,80.0
Monroe,17/5/2020,81.0
Monroe,18/5/2020,78.0
Monroe,19/5/2020,80.5
Monroe,20/5/2020,84.5
Monroe,21/5/2020,84.0
Monroe,22/5/2020,80.5
Monroe,23/5/2020,81.0
Monroe,24/5/2020,76.0
Monroe,25/5/2020,75.5
Monroe,26/5/2020,78.5
Monroe,27/5/2020,79.5
Monroe,28/5/2020,83.0
Monroe,29/5/2020,83.5
Monroe,30/5/2020,84.0
