county,date,average temperature
Orange,1/3/2020,52.5
Orange,2/3/2020,63.0
Orange,3/3/2020,71.5
Orange,4/3/2020,74.0
Orange,5/3/2020,78.0
Orange,6/3/2020,64.0
Orange,7/3/2020,55.0
Orange,8/3/2020,62.0
Orange,9/3/2020,65.0
Orange,10/3/2020,69.0
Orange,11/3/2020,69.0
Orange,12/3/2020,68.5
Orange,13/3/2020,70.5
Orange,14/3/2020,71.5
Orange,15/3/2020,73.5
Orange,16/3/2020,71.5
Orange,17/3/2020,72.5
Orange,18/3/2020,73.0
Orange,19/3/2020,71.0
Orange,20/3/2020,72.0
Orange,21/3/2020,74.0
Orange,22/3/2020,74.0
Orange,23/3/2020,77.0
Orange,24/3/2020,75.5
Orange,25/3/2020,75.0
Orange,26/3/2020,74.0
Orange,27/3/2020,75.0
Orange,28/3/2020,77.0
Orange,29/3/2020,76.5
Orange,30/3/2020,77.5
Orange,31/3/2020,77.5
Orange,1/4/2020,66.5
Orange,2/4/2020,61.0
Orange,3/4/2020,64.0
Orange,4/4/2020,68.5
Orange,5/4/2020,67.5
Orange,6/4/2020,71.0
Orange,7/4/2020,70.5
Orange,8/4/2020,76.0
Orange,9/4/2020,81.0
Orange,10/4/2020,70.0
Orange,11/4/2020,66.5
Orange,12/4/2020,77.0
Orange,13/4/2020,82.0
Orange,14/4/2020,80.0
Orange,15/4/2020,75.5
Orange,16/4/2020,66.0
Orange,17/4/2020,71.5
Orange,18/4/2020,77.0
Orange,19/4/2020,79.5
Orange,20/4/2020,76.5
Orange,21/4/2020,72.5
Orange,22/4/2020,70.5
Orange,23/4/2020,79.0
Orange,24/4/2020,72.0
Orange,25/4/2020,75.0
Orange,26/4/2020,77.0
Orange,27/4/2020,64.0
Orange,28/4/2020,65.5
Orange,29/4/2020,70.5
Orange,30/4/2020,69.0
Orange,1/5/2020,69.0
Orange,2/5/2020,67.5
Orange,3/5/2020,70.5
Orange,4/5/2020,74.5
Orange,5/5/2020,75.5
Orange,6/5/2020,76.5
Orange,7/5/2020,62.0
Orange,8/5/2020,65.5
Orange,9/5/2020,69.0
Orange,10/5/2020,70.5
Orange,11/5/2020,71.5
Orange,12/5/2020,69.0
Orange,13/5/2020,70.0
Orange,14/5/2020,76.0
Orange,15/5/2020,76.5
Orange,16/5/2020,77.5
Orange,17/5/2020,78.0
Orange,18/5/2020,78.5
Orange,19/5/2020,80.5
Orange,20/5/2020,77.5
Orange,21/5/2020,79.0
Orange,22/5/2020,79.0
Orange,23/5/2020,79.5
Orange,24/5/2020,77.0
Orange,25/5/2020,75.0
Orange,26/5/2020,79.5
Orange,27/5/2020,79.0
Orange,28/5/2020,78.5
Orange,29/5/2020,77.0
Orange,30/5/2020,79.5
