county,date,average temperature
Dade,1/3/2020,61.5
Dade,2/3/2020,68.0
Dade,3/3/2020,72.0
Dade,4/3/2020,75.5
Dade,5/3/2020,78.5
Dade,6/3/2020,69.5
Dade,7/3/2020,63.5
Dade,8/3/2020,64.0
Dade,9/3/2020,70.0
Dade,10/3/2020,73.0
Dade,11/3/2020,73.5
Dade,12/3/2020,75.0
Dade,13/3/2020,76.0
Dade,14/3/2020,77.0
Dade,15/3/2020,77.5
Dade,16/3/2020,77.5
Dade,17/3/2020,77.0
Dade,18/3/2020,78.0
Dade,19/3/2020,78.0
Dade,20/3/2020,78.5
Dade,21/3/2020,77.5
Dade,22/3/2020,78.0
Dade,23/3/2020,77.5
Dade,24/3/2020,79.5
Dade,25/3/2020,77.0
Dade,26/3/2020,82.0
Dade,27/3/2020,81.0
Dade,28/3/2020,80.0
Dade,29/3/2020,79.0
Dade,30/3/2020,80.5
Dade,31/3/2020,81.0
Dade,1/4/2020,73.0
Dade,2/4/2020,71.5
Dade,3/4/2020,74.0
Dade,4/4/2020,76.5
Dade,5/4/2020,75.5
Dade,6/4/2020,77.5
Dade,7/4/2020,80.0
Dade,8/4/2020,80.0
Dade,9/4/2020,82.5
Dade,10/4/2020,83.0
Dade,11/4/2020,79.0
Dade,12/4/2020,84.5
Dade,13/4/2020,83.5
Dade,14/4/2020,85.0
Dade,15/4/2020,83.5
Dade,16/4/2020,78.0
Dade,17/4/2020,79.5
Dade,18/4/2020,81.0
Dade,19/4/2020,81.5
Dade,20/4/2020,83.5
Dade,21/4/2020,81.0
Dade,22/4/2020,79.5
Dade,23/4/2020,81.5
Dade,24/4/2020,80.5
Dade,25/4/2020,80.0
Dade,26/4/2020,76.5
Dade,27/4/2020,76.0
Dade,28/4/2020,74.5
Dade,29/4/2020,77.5
Dade,30/4/2020,75.0
Dade,1/5/2020,74.0
Dade,2/5/2020,75.5
Dade,3/5/2020,78.5
Dade,4/5/2020,79.5
Dade,5/5/2020,80.0
Dade,6/5/2020,79.5
Dade,7/5/2020,75.5
Dade,8/5/2020,74.0
Dade,9/5/2020,80.0
Dade,10/5/2020,76.5
Dade,11/5/2020,79.0
Dade,12/5/2020,78.0
Dade,13/5/2020,77.5
Dade,14/5/2020,79.0
Dade,15/5/2020,77.0
Dade,16/5/2020,79.5
Dade,17/5/2020,80.0
Dade,18/5/2020,77.0
Dade,19/5/2020,79.5
Dade,20/5/2020,80.5
Dade,21/5/2020,82.0
Dade,22/5/2020,82.5
Dade,23/5/2020,82.0
Dade,24/5/2020,74.5
Dade,25/5/2020,78.5
Dade,26/5/2020,81.0
Dade,27/5/2020,82.5
Dade,28/5/2020,81.5
Dade,29/5/2020,82.0
Dade,30/5/2020,82.5
