county,date,average temperature
Leon,1/3/2020,51.5
Leon,2/3/2020,58.5
Leon,3/3/2020,72.0
Leon,4/3/2020,72.5
Leon,5/3/2020,68.5
Leon,6/3/2020,59.5
Leon,7/3/2020,52.0
Leon,8/3/2020,55.0
Leon,9/3/2020,62.0
Leon,10/3/2020,67.0
Leon,11/3/2020,66.0
Leon,12/3/2020,68.5
Leon,13/3/2020,70.5
Leon,14/3/2020,69.5
Leon,15/3/2020,70.5
Leon,16/3/2020,73.0
Leon,17/3/2020,71.0
Leon,18/3/2020,74.0
Leon,19/3/2020,71.5
Leon,20/3/2020,72.0
Leon,21/3/2020,75.5
Leon,22/3/2020,73.0
Leon,23/3/2020,72.5
Leon,24/3/2020,75.0
Leon,25/3/2020,79.0
Leon,26/3/2020,76.0
Leon,27/3/2020,75.0
Leon,28/3/2020,75.0
Leon,29/3/2020,76.5
Leon,30/3/2020,75.0
Leon,31/3/2020,72.0
Leon,1/4/2020,60.5
Leon,2/4/2020,60.5
Leon,3/4/2020,62.0
Leon,4/4/2020,68.5
Leon,5/4/2020,70.5
Leon,6/4/2020,69.0
Leon,7/4/2020,72.0
Leon,8/4/2020,79.0
Leon,9/4/2020,84.0
Leon,10/4/2020,63.0
Leon,11/4/2020,61.0
Leon,12/4/2020,68.0
Leon,13/4/2020,77.0
Leon,14/4/2020,73.5
Leon,15/4/2020,63.5
Leon,16/4/2020,65.0
Leon,17/4/2020,65.5
Leon,18/4/2020,73.5
Leon,19/4/2020,76.5
Leon,20/4/2020,71.0
Leon,21/4/2020,69.5
Leon,22/4/2020,68.5
Leon,23/4/2020,72.5
Leon,24/4/2020,73.0
Leon,25/4/2020,73.0
Leon,26/4/2020,68.5
Leon,27/4/2020,65.0
Leon,28/4/2020,64.0
Leon,29/4/2020,68.5
Leon,30/4/2020,66.0
Leon,1/5/2020,64.5
Leon,2/5/2020,68.5
Leon,3/5/2020,70.0
Leon,4/5/2020,72.0
Leon,5/5/2020,76.5
Leon,6/5/2020,74.0
Leon,7/5/2020,62.0
Leon,8/5/2020,62.0
Leon,9/5/2020,71.0
Leon,10/5/2020,72.0
Leon,11/5/2020,70.0
Leon,12/5/2020,68.5
Leon,13/5/2020,74.0
Leon,14/5/2020,76.5
Leon,15/5/2020,77.5
Leon,16/5/2020,79.5
Leon,17/5/2020,81.0
Leon,18/5/2020,77.5
Leon,19/5/2020,80.0
Leon,20/5/2020,75.0
Leon,21/5/2020,79.0
Leon,22/5/2020,81.5
Leon,23/5/2020,80.0
Leon,24/5/2020,80.0
Leon,25/5/2020,79.0
Leon,26/5/2020,75.5
Leon,27/5/2020,79.0
Leon,28/5/2020,79.5
Leon,29/5/2020,78.0
Leon,30/5/2020,81.0
