county,date,average temperature
Miami,1/3/2020,65.5
Miami,2/3/2020,73.0
Miami,3/3/2020,76.0
Miami,4/3/2020,78.0
Miami,5/3/2020,83.0
Miami,6/3/2020,76.5
Miami,7/3/2020,68.0
Miami,8/3/2020,71.0
Miami,9/3/2020,74.5
Miami,10/3/2020,76.0
Miami,11/3/2020,75.0
Miami,12/3/2020,75.5
Miami,13/3/2020,75.5
Miami,14/3/2020,78.5
Miami,15/3/2020,78.5
Miami,16/3/2020,76.5
Miami,17/3/2020,78.0
Miami,18/3/2020,77.5
Miami,19/3/2020,80.0
Miami,20/3/2020,79.5
Miami,21/3/2020,79.5
Miami,22/3/2020,76.5
Miami,23/3/2020,78.0
Miami,24/3/2020,79.5
Miami,25/3/2020,80.5
Miami,26/3/2020,80.5
Miami,27/3/2020,80.0
Miami,28/3/2020,77.5
Miami,29/3/2020,80.0
Miami,30/3/2020,81.5
Miami,31/3/2020,83.0
Miami,1/4/2020,80.0
Miami,2/4/2020,74.0
Miami,3/4/2020,77.0
Miami,4/4/2020,78.5
Miami,5/4/2020,78.0
Miami,6/4/2020,80.5
Miami,7/4/2020,81.5
Miami,8/4/2020,83.5
Miami,9/4/2020,84.0
Miami,10/4/2020,85.0
Miami,11/4/2020,79.5
Miami,12/4/2020,83.0
Miami,13/4/2020,84.5
Miami,14/4/2020,85.0
Miami,15/4/2020,86.5
Miami,16/4/2020,84.0
Miami,17/4/2020,83.0
Miami,18/4/2020,84.5
Miami,19/4/2020,83.0
Miami,20/4/2020,88.5
Miami,21/4/2020,84.5
Miami,22/4/2020,80.0
Miami,23/4/2020,83.5
Miami,24/4/2020,87.0
Miami,25/4/2020,84.5
Miami,26/4/2020,77.5
Miami,27/4/2020,79.0
Miami,28/4/2020,76.5
Miami,29/4/2020,80.5
Miami,30/4/2020,79.5
Miami,1/5/2020,74.5
Miami,2/5/2020,76.5
Miami,3/5/2020,76.5
Miami,4/5/2020,78.5
Miami,5/5/2020,80.5
Miami,6/5/2020,83.0
Miami,7/5/2020,79.0
Miami,8/5/2020,74.5
Miami,9/5/2020,79.0
Miami,10/5/2020,75.5
Miami,11/5/2020,78.5
Miami,12/5/2020,79.0
Miami,13/5/2020,79.5
Miami,14/5/2020,77.0
Miami,15/5/2020,76.5
Miami,16/5/2020,80.0
Miami,17/5/2020,81.0
Miami,18/5/2020,78.0
Miami,19/5/2020,80.5
Miami,20/5/2020,84.5
Miami,21/5/2020,84.0
Miami,22/5/2020,80.5
Miami,23/5/2020,81.0
Miami,24/5/2020,76.0
Miami,25/5/2020,75.5
Miami,26/5/2020,78.5
Miami,27/5/2020,79.5
Miami,28/5/2020,83.0
Miami,29/5/2020,83.5
Miami,30/5/2020,84.0
