county,date,average temperature
Palm Beach,1/3/2020,65.5
Palm Beach,2/3/2020,73.0
Palm Beach,3/3/2020,76.0
Palm Beach,4/3/2020,78.0
Palm Beach,5/3/2020,83.0
Palm Beach,6/3/2020,76.5
Palm Beach,7/3/2020,68.0
Palm Beach,8/3/2020,71.0
Palm Beach,9/3/2020,74.5
Palm Beach,10/3/2020,76.0
Palm Beach,11/3/2020,75.0
Palm Beach,12/3/2020,75.5
Palm Beach,13/3/2020,75.5
Palm Beach,14/3/2020,78.5
Palm Beach,15/3/2020,78.5
Palm Beach,16/3/2020,76.5
Palm Beach,17/3/2020,78.0
Palm Beach,18/3/2020,77.5
Palm Beach,19/3/2020,80.0
Palm Beach,20/3/2020,79.5
Palm Beach,21/3/2020,79.5
Palm Beach,22/3/2020,76.5
Palm Beach,23/3/2020,78.0
Palm Beach,24/3/2020,79.5
Palm Beach,25/3/2020,80.5
Palm Beach,26/3/2020,80.5
Palm Beach,27/3/2020,80.0
Palm Beach,28/3/2020,77.5
Palm Beach,29/3/2020,80.0
Palm Beach,30/3/2020,81.5
Palm Beach,31/3/2020,83.0
Palm Beach,1/4/2020,80.0
Palm Beach,2/4/2020,74.0
Palm Beach,3/4/2020,77.0
Palm Beach,4/4/2020,78.5
Palm Beach,5/4/2020,78.0
Palm Beach,6/4/2020,80.5
Palm Beach,7/4/2020,81.5
Palm Beach,8/4/2020,83.5
Palm Beach,9/4/2020,84.0
Palm Beach,10/4/2020,85.0
Palm Beach,11/4/2020,79.5
Palm Beach,12/4/2020,83.0
Palm Beach,13/4/2020,84.5
Palm Beach,14/4/2020,85.0
Palm Beach,15/4/2020,86.5
Palm Beach,16/4/2020,84.0
Palm Beach,17/4/2020,83.0
Palm Beach,18/4/2020,84.5
Palm Beach,19/4/2020,83.0
Palm Beach,20/4/2020,88.5
Palm Beach,21/4/2020,84.5
Palm Beach,22/4/2020,80.0
Palm Beach,23/4/2020,83.5
Palm Beach,24/4/2020,87.0
Palm Beach,25/4/2020,84.5
Palm Beach,26/4/2020,77.5
Palm Beach,27/4/2020,79.0
Palm Beach,28/4/2020,76.5
Palm Beach,29/4/2020,80.5
Palm Beach,30/4/2020,79.5
Palm Beach,1/5/2020,74.5
Palm Beach,2/5/2020,76.5
Palm Beach,3/5/2020,76.5
Palm Beach,4/5/2020,78.5
Palm Beach,5/5/2020,80.5
Palm Beach,6/5/2020,83.0
Palm Beach,7/5/2020,79.0
Palm Beach,8/5/2020,74.5
Palm Beach,9/5/2020,79.0
Palm Beach,10/5/2020,75.5
Palm Beach,11/5/2020,78.5
Palm Beach,12/5/2020,79.0
Palm Beach,13/5/2020,79.5
Palm Beach,14/5/2020,77.0
Palm Beach,15/5/2020,76.5
Palm Beach,16/5/2020,80.0
Palm Beach,17/5/2020,81.0
Palm Beach,18/5/2020,78.0
Palm Beach,19/5/2020,80.5
Palm Beach,20/5/2020,84.5
Palm Beach,21/5/2020,84.0
Palm Beach,22/5/2020,80.5
Palm Beach,23/5/2020,81.0
Palm Beach,24/5/2020,76.0
Palm Beach,25/5/2020,75.5
Palm Beach,26/5/2020,78.5
Palm Beach,27/5/2020,79.5
Palm Beach,28/5/2020,83.0
Palm Beach,29/5/2020,83.5
Palm Beach,30/5/2020,84.0
