county,date,average temperature
Pinellas,1/3/2020,61.5
Pinellas,2/3/2020,68.0
Pinellas,3/3/2020,72.0
Pinellas,4/3/2020,75.5
Pinellas,5/3/2020,78.5
Pinellas,6/3/2020,69.5
Pinellas,7/3/2020,63.5
Pinellas,8/3/2020,64.0
Pinellas,9/3/2020,70.0
Pinellas,10/3/2020,73.0
Pinellas,11/3/2020,73.5
Pinellas,12/3/2020,75.0
Pinellas,13/3/2020,76.0
Pinellas,14/3/2020,77.0
Pinellas,15/3/2020,77.5
Pinellas,16/3/2020,77.5
Pinellas,17/3/2020,77.0
Pinellas,18/3/2020,78.0
Pinellas,19/3/2020,78.0
Pinellas,20/3/2020,78.5
Pinellas,21/3/2020,77.5
Pinellas,22/3/2020,78.0
Pinellas,23/3/2020,77.5
Pinellas,24/3/2020,79.5
Pinellas,25/3/2020,77.0
Pinellas,26/3/2020,82.0
Pinellas,27/3/2020,81.0
Pinellas,28/3/2020,80.0
Pinellas,29/3/2020,79.0
Pinellas,30/3/2020,80.5
Pinellas,31/3/2020,81.0
Pinellas,1/4/2020,73.0
Pinellas,2/4/2020,71.5
Pinellas,3/4/2020,74.0
Pinellas,4/4/2020,76.5
Pinellas,5/4/2020,75.5
Pinellas,6/4/2020,77.5
Pinellas,7/4/2020,80.0
Pinellas,8/4/2020,80.0
Pinellas,9/4/2020,82.5
Pinellas,10/4/2020,83.0
Pinellas,11/4/2020,79.0
Pinellas,12/4/2020,84.5
Pinellas,13/4/2020,83.5
Pinellas,14/4/2020,85.0
Pinellas,15/4/2020,83.5
Pinellas,16/4/2020,78.0
Pinellas,17/4/2020,79.5
Pinellas,18/4/2020,81.0
Pinellas,19/4/2020,81.5
Pinellas,20/4/2020,83.5
Pinellas,21/4/2020,81.0
Pinellas,22/4/2020,79.5
Pinellas,23/4/2020,81.5
Pinellas,24/4/2020,80.5
Pinellas,25/4/2020,80.0
Pinellas,26/4/2020,76.5
Pinellas,27/4/2020,76.0
Pinellas,28/4/2020,74.5
Pinellas,29/4/2020,77.5
Pinellas,30/4/2020,75.0
Pinellas,1/5/2020,74.0
Pinellas,2/5/2020,75.5
Pinellas,3/5/2020,78.5
Pinellas,4/5/2020,79.5
Pinellas,5/5/2020,80.0
Pinellas,6/5/2020,79.5
Pinellas,7/5/2020,75.5
Pinellas,8/5/2020,74.0
Pinellas,9/5/2020,80.0
Pinellas,10/5/2020,76.5
Pinellas,11/5/2020,79.0
Pinellas,12/5/2020,78.0
Pinellas,13/5/2020,77.5
Pinellas,14/5/2020,79.0
Pinellas,15/5/2020,77.0
Pinellas,16/5/2020,79.5
Pinellas,17/5/2020,80.0
Pinellas,18/5/2020,77.0
Pinellas,19/5/2020,79.5
Pinellas,20/5/2020,80.5
Pinellas,21/5/2020,82.0
Pinellas,22/5/2020,82.5
Pinellas,23/5/2020,82.0
Pinellas,24/5/2020,74.5
Pinellas,25/5/2020,78.5
Pinellas,26/5/2020,81.0
Pinellas,27/5/2020,82.5
Pinellas,28/5/2020,81.5
Pinellas,29/5/2020,82.0
Pinellas,30/5/2020,82.5
