state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
FL,12,Florida,12086,Miami-Dade County,2761581,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.5366495925,C,3,-0.7547011363,A,5,2.086330394,F,1
FL,12,Florida,12097,Osceola County,367990,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.5443053249,C,3,-0.76872948,A,5,-0.1068736754,F,1
FL,12,Florida,12099,Palm Beach County,1485941,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.5247594705,C,3,-0.7328114754,A,5,0.7063513908,F,1
FL,12,Florida,12011,Broward County,1951260,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C+,3.3,-0.5726141383,B,4,-0.7271772909,A,5,2.876510939,F,1
FL,12,Florida,12001,Alachua County,269956,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C,3,-0.4502621547,C,3,-0.7320401665,A,5,-0.3204193747,F,1
FL,12,Florida,12103,Pinellas County,975280,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C+,3.3,-0.5596968105,B,4,-0.7193885335,A,5,8.853911538,F,1
FL,12,Florida,12087,Monroe County,75027,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,B,4,-0.5409069031,C,3,-0.7873904862,A,5,-0.9236943932,B,4
FL,12,Florida,12011,Broward County,1951260,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C+,3.3,-0.6129240069,B,4,-0.7175018806,A,5,2.940387983,F,1
FL,12,Florida,12087,Monroe County,75027,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,B+,4.3,-0.6574176073,B,4,-0.7593883706,A,5,-0.9253630262,B,4
FL,12,Florida,12073,Leon County,292502,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.4493794813,C,3,-0.7214917839,A,5,0.4379709401,F,1
FL,12,Florida,12103,Pinellas County,975280,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.482335669,C,3,-0.7126977925,A,5,10.19704602,F,1
FL,12,Florida,12086,Miami-Dade County,2761581,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C+,3.3,-0.5823270969,B,4,-0.752281991,A,5,1.764355855,F,1
FL,12,Florida,12057,Hillsborough County,1436888,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C-,2.7,-0.5185227909,C,3,-0.6935609003,B,4,3.076233917,F,1
FL,12,Florida,12099,Palm Beach County,1485941,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C,3,-0.5370314594,C,3,-0.7137052597,A,5,0.7059483992,F,1
FL,12,Florida,12057,Hillsborough County,1436888,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C-,2.7,-0.4574511457,C,3,-0.687287675,B,4,3.376377998,F,1
FL,12,Florida,12095,Orange County,1380645,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C+,3.3,-0.5933281209,B,4,-0.8269332106,A,5,4.122644296,F,1
FL,12,Florida,12097,Osceola County,367990,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C+,3.3,-0.6458992183,B,4,-0.7791128041,A,5,-0.2082222403,F,1
FL,12,Florida,12095,Orange County,1380645,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C+,3.3,-0.6613343625,B,4,-0.8530133271,A,5,3.026761595,F,1
FL,12,Florida,12001,Alachua County,269956,2020-04-19 19:12:51.786594 UTC,2020-04-17,6,POST,C,3,-0.4501430534,C,3,-0.7382304084,A,5,-0.2079880638,F,1
FL,12,Florida,12073,Leon County,292502,2020-04-19 19:12:51.786594 UTC,2020-04-18,7,POST,C,3,-0.4294152302,C,3,-0.7307157308,A,5,0.4416173652,F,1
